object_title,object_image_url,object_url,creator_name,creator_lifetime,creation_time
"Ludwik XVII (1785-1795), z dynastii Burbonów, syn Ludwika XVI i Marii Antoniny, zmarł w wieku 10...",https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/48/7a/487a32639d9992bcfb3168318e985d7d.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/420613,"Kucharski, Aleksander",(1741-1819),około 1794
Portret kobiety w różowym kapeluszu,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/ee/6c/ee6cfd398edc964df228d22b64551f36.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/417429,"Adamowicz, Bogusław",(1870-1944),około 1920
Portret młodej damy,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/b1/67/b1674610122a1223b44edbb7910fbe65.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/417954,"Brzeziński, Leon",(1809-1865),1848
Juliusz Falkowski w wieku dziecięcym,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/cc/57/cc57f589fe4ec3905db30cd53ae40581.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/432073,"Berny d'Ouvillé, Charles",(1775/1780-1842),1821
Młoda dama w czerwonej sukni,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/dd/89/dd895e3a6047fc8f0ff40901e5288909.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/432197,"Berthon, Sydonia",(1818-1871),1840
Léonard Joseph Léon Faucher (1803-1854),https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/23/8e/238ec68b5d0a01c10de042bbae80a248.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/432306,"David, Maxime",(1789-1870),1850
Katarzyna II (1729-1896),https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/ea/19/ea197b995d66fc9cb02aa1d5f0a732a3.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/432355,"Gault de Sain Germain, Pierre Mari",(1754-1842),koniec XVIII wieku
Katarzyna z Jaworskich Starzeńska z synkiem Kazimierzem,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/2c/75/2c758917e27a92e18af03e334e95273b.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/432549,"Chevalier, Guerard E. de",,1808
Napoleon I (1769-1821),https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/6b/b7/6bb76b2ecadbf07595802e3de09c81a9.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/432617,Nieznany,,między 1800-1820
Aleksandra i Feliks Wołowscy,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/a1/dc/a1dc31c1e823fd333730c4da91d6e080.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/432671,"Jacques, Mikołaj",(1780-1844),po 1830
Louisa Mary Portman,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/81/57/8157c025850727d053c0ab9561ba369b.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/435422,"Ross, William Charles",(1794-1860),1839
August II Mocny (1670-1733),https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/18/8d/188d515f3042eacd5f4be013c67dd936.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/436609,Nieznany,,1725
Arcyksiężniczki austriackie Johanna i Józefa przymierzające klejnoty,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/64/e8/64e8f2999d327e097a58bf1b5b8ff7b1.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/438352,"Reinsperger, Johann Christoph von",(1711-1777),około połowy XVIII wieku
"Anna Karolina Dorota Kurlandzka z domu Medem (1761 – 1821), córka hrabiego Johanna Friedricha von...",https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/e9/70/e97059da6a69cacd1ced99df35f36f4d.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/419298,"Grassi, Josef",(1757-1838),około 1797
Maria Augusta Windham,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/ef/83/ef832258dd7b95dcb637d2c8ea7d8c6c.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/439220,"Clint, Georg",(1770-1854),1824
Maria hrabina Guilford,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/ea/0b/ea0b57ecd2936183b27a94f5bb79a8d4.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/439386,"Cosvay, Ryszard",(1742-1821),1790
Mężczyzna w granatowym fraku i białej kamizelce w fioletowe paski,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/5f/a4/5fa496e9c4be59fd042d6a6e307d218d.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/439736,Chateaubourg de,(ca 1765-ca 1837),około 1800
Kobieta w fioletowej sukni i białym fichu,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/59/60/596068a103bef01df0ae5035539cc2bb.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/439781,"Bornet, Claude",(1733-1804),koniec XVIII wieku
Mężczyzna w granatowym fraku i białej kamizelce w brązowe paski,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/8f/94/8f949e2267794df76cd7b07e9e446a61.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/440101,"Isabey, Jean-Baptiste",(1767-1855),między 1750-1800
Dama w białej sukni,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/f4/35/f435ce317089fb122e218352ce486ce3.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/440151,"Bordes, Jóseph",(1773-ca 1835),1827
Młoda dama z kolczykami z pereł,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/5a/44/5a44559618fe1e9a4978cf2cbd3f25e4.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/440247,"Daffinger, Maurycy Michał",(1790-1849),około 1840
Leopold II Habsburg (1747-1792),https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/60/cb/60cbb38b29c399473652e3b44b8a9c11.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/440544,"Füger, Heinrich",(1751-1818),około 1790
Młoda dama w białej sukni i karminowym szalu,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/06/f9/06f96c1295f73c7ec620240791b3cef0.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/441081,"Panario, Santo",(1786-1871),około 1835
Aleksandra Osipowna Smirnowa-Rosset,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/b7/d5/b7d5cd2ad2f1dc33ff004a39043d3314.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/441384,"Martin, E.",,około 1830
Portret żony artysty,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/85/8d/858d3c3caed8daa77f0fd79f5ebdc56a.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/419717,"Jakimowicz, Mieczysław",(1881-1917),między 1912-1916
Wenus rozbrajająca Amora (II),https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/cd/cc/cdcc1940335f75132a36806fea5738f1.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/417654,"Bechon, Charles",(1732-1812),1791
Portret młodej damy,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/89/eb/89ebf808c34ba32c401d50abc8d28954.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/420494,"Kosiński, Józef",(1753-1821),1801
Portret hrabiny Montrèsor,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/32/a9/32a9d07fb60d3a5c331c57e3fd3afc2e.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/420857,"Lesseur-Lesserowicz, Wincenty",(1745-1813),1796
Portret hrabiego de Montrèsor,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/7e/8b/7e8b8467ca29896952db065a5df79124.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/420914,"Lesseur-Lesserowicz, Wincenty",(1745-1813),1796
"Marianna Aniela z Nacewiczów Bogusławska (1801-1854), aktorka Teatru Narodowego w Warszawie",https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/f6/43/f643ab1614e9dd34f4a82f0ffd361466.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/421392,"Marszałkiewicz, Stanisław",(1789-1872),około 1830
Portret młodej kobiety,https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/e5/01/e501030bf74ddc55178bd8887c7b61bb.jpg,https://zbiory.mnk.pl/pl/galerie-tematyczne/519/katalog/466686,"Dąbrowska, Kazimiera",(1890-1972),1832